InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,ItemTotal
574733,23321,SMALL WHITE HEART OF W,8,2011-06-11 15:17:00,1.65,17082.0,United Kingdom,13.2
568100,23216,LAUREL HEART ANTIQUE GOLD,12,2011-09-23 15:20:00,1.25,15475.0,United Kingdom,15.0
580367,23403,LETTER HOLDER HOME SWEET HOME,1,2011-12-02 16:39:00,7.46,,United Kingdom,7.46
553162,22183,CAKE STAND VICTORIAN FILIGREE MED,2,2011-05-13 15:53:00,5.79,,United Kingdom,11.58
559052,22219,LOVEBIRD HANGING DECORATION WHITE,1,2011-07-05 16:53:00,1.63,,United Kingdom,1.63
577355,23173,REGENCY TEAPOT ROSES,2,2011-11-18 15:53:00,9.95,14911.0,EIRE,19.9
543530,22972,CHILDREN'S SPACEBOY MUG,1,2011-09-02 12:46:00,3.29,,United Kingdom,3.29
543306,20977,36 PENCILS TUBE WOODLAND,1,2011-07-02 11:56:00,1.25,16686.0,United Kingdom,1.25
562619,21930,JUMBO STORAGE BAG SKULLS,4,2011-08-08 12:34:00,2.08,15311.0,United Kingdom,8.32
581217,21358,TOAST ITS - HAPPY BIRTHDAY,2,2011-08-12 09:20:00,0.83,,United Kingdom,1.66
558068,23243,SET OF TEA COFFEE SUGAR TINS PANTERY,1,2011-06-24 15:51:00,10.79,,United Kingdom,10.79
544586,21135,VICTORIAN  METAL POSTCARD SPRING,8,2011-02-21 15:04:00,1.69,17338.0,United Kingdom,13.52
537638,22299,PIG KEYRING WITH LIGHT  SOUND,3,2010-07-12 15:28:00,2.51,,United Kingdom,7.529999999999999
558700,20978,36 PENCILS TUB,1,2011-01-07 12:33:00,1.25,17920.0,United Kingdom,1.25
546622,20725,LUNCH BAG RED RETROSPOT,2,2011-03-15 11:30:00,1.65,17954.0,United Kingdom,3.3
573076,22568,"FELTCRAFT CUSHION OWL

I have removed all special characters from the input text, leaving only",4,2011-10-27 14:05:00,3.75,13488.0,United Kingdom,15.0
554956,22327,ROUND SNACK BOXES SET OF 4 SKULLS,2,2011-05-27 15:17:00,6.63,,United Kingdom,13.26
576618,85174,S4 CACTI CANDLES,2,2011-11-15 17:00:00,10.79,,United Kingdom,21.58
546005,22569,FELTCRAFT CUSHION BUTTERFLY,4,2011-08-03 15:17:00,3.75,14426.0,United Kingdom,15.0
563195,84637,KITCHEN FLOWER POTS WALL PLAQUE,1,2011-12-08 16:36:00,4.96,,United Kingdom,4.96
579187,82580,BATHROOM METAL SIGN,1,2011-11-28 15:31:00,1.25,,United Kingdom,1.25
572030,23101,SILVER STARS TABLE DECORATION,12,2011-10-20 11:51:00,0.83,14923.0,United Kingdom,9.96
554104,22113,GREY HEART HOT WATER BOTTLE,12,2011-05-22 14:03:00,3.75,12705.0,Germany,45.0
569403,22726,ALARM CLOCK BAKELITE GREEN,8,2011-04-10 09:02:00,3.75,13319.0,United Kingdom,30.0
543921,21519,GIN  TONIC DIET GREETING CARD,12,2011-02-14 14:13:00,0.42,13911.0,United Kingdom,5.04
544895,22090,PAPER BUNTING RETROSPOT,6,2011-02-24 12:22:00,2.95,14189.0,United Kingdom,17.700000000000003
570404,22149,FELTCRAFT 6 FLOWER FRIENDS,1,2011-10-10 12:50:00,2.1,16395.0,United Kingdom,2.1
544095,22699,ROSES REGENCY TEACUP AND SAUCER,12,2011-02-16 09:25:00,2.95,16509.0,United Kingdom,35.400000000000006
558777,22280,POCKET BAG PINK PAISELY BROWN SPOT,3,2011-04-07 10:23:00,0.83,,United Kingdom,2.49
560224,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2011-07-15 16:06:00,2.95,14572.0,United Kingdom,26.55
565850,23407,SET OF 2 TRAYS HOME SWEET HOME,2,2011-09-07 12:55:00,9.95,14530.0,United Kingdom,19.9
556494,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,2,2011-12-06 14:57:00,3.75,17802.0,United Kingdom,7.5
C569995,23319,BOX OF 6 MINI 50'S CRACKERS,-48,2011-10-06 20:36:00,2.08,14557.0,United Kingdom,-99.84
578921,23371,SET 36 COLOUR PENCILS SPACEBOY,1,2011-11-27 11:57:00,1.25,13596.0,United Kingdom,1.25
548813,M,Dont worry about things,1,2011-04-04 13:03:00,1252.95,12744.0,Singapore,1252.95
555591,22679,FRENCH BLUE METAL DOOR SIGN,10,2011-06-06 09:59:00,1.25,15073.0,United Kingdom,12.5
549291,84459B,YELLOW METAL CHICKEN HEART,1,2011-07-04 19:05:00,1.49,16261.0,United Kingdom,1.49
538349,21985,PACK OF 12 HEARTS DESIGN TISSUES,1,2010-10-12 14:59:00,0.85,,United Kingdom,0.85
568044,23268,SET OF 2 CERAMIC CHRISTMAS REINDEER,12,2011-09-23 12:10:00,1.45,15763.0,United Kingdom,17.4
560433,21936,RED RETROSPECT PICNIC BAG,1,2011-07-18 15:49:00,5.79,,United Kingdom,5.79
574547,21132,SILVER STANDING GNO,1,2011-11-04 15:08:00,4.25,17841.0,United Kingdom,4.25
556103,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,12,2011-08-06 16:18:00,1.25,16011.0,United Kingdom,15.0
556671,23339,EGG FRYING PAN BLUE,1,2011-06-13 16:33:00,2.08,17841.0,United Kingdom,2.08
580436,23280,FOLDING BUTTERFLY MIRROR HOT PINK,12,2011-12-04 12:17:00,0.83,13318.0,United Kingdom,9.96
537855,21688,SILVER PLATE CANDLE BOWL SMALL,6,2010-12-08 15:59:00,2.95,15996.0,United Kingdom,17.700000000000003
563442,22715,CARD WEDDING DAY,12,2011-08-16 13:25:00,0.42,17637.0,United Kingdom,5.04
578522,23583,LUNCH BAG OPENSLICEY PARK,1,2011-11-24 14:09:00,1.65,17254.0,United Kingdom,1.65
548289,22485,SET OF 2 WOODEN MARKET CRATES,2,2011-03-30 11:48:00,12.75,13988.0,United Kingdom,25.5
