InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,ItemTotal
574733,23321,S#MALL* ^WHITE HEART OF WICKER,8,2011.06.11 15:17:00,1.65,17082.0,United Kingdom,13.2
568100,23216,L%A*URE@L HEA&R$T ANTIQU$E@ GOL%D,12,23/09/2011 15:20:00,1.25,15475.0,United Kingdom,15.0
580367,23403,LETTER $HOLDE%R $HOME* S$WEE^T HO^M!E,1,12/02/2011 16:39:00,7.46,,United Kingdom,7.46
553162,22183,CAKE @STAND V^IC*TOR#I*A$N$ FILIGR$EE ^MED,2,2011.05.13 15:53:00,5.79,,United Kingdom,11.58
559052,22219,LOVEB*IRD &H#ANG%ING DE^CORAT&ION W*H@ITE,1,05-07-2011 04:53 PM,1.63,,United Kingdom,1.63
577355,23173,RE#GENCY TEAP#OT ROSES,2,18/11/2011 15:53:00,9.95,14911.0,EIRE,19.9
543530,22972,CHI@LDRE^N'S SP#ACE$BOY MUG,1,02/09/2011 12:46:00,3.29,,United Kingdom,3.29
543306,20977,3@6& PENCI^LS TUBE #WOO@DLA$ND,1,02/07/2011 11:56:00,1.25,16686.0,United Kingdom,1.25
562619,21930,JUMBO %ST#ORA^GE B!AG SKUL%LS,4,2011.08.08 12:34:00,2.08,15311.0,United Kingdom,8.32
581217,21358,TOAST &ITS - HAP^PY$ BIR%THDAY,2,12/08/2011 09:20:00,0.83,,United Kingdom,1.66
558068,23243,SET #OF TE&A COF*FEE S@UGAR TIN%S* PANT@RY,1,2011.06.24 15:51:00,10.79,,United Kingdom,10.79
544586,21135,VICT&OR#IAN # ME%TAL POS^TCARD S*PRING,8,2011.02.21 15:04:00,1.69,17338.0,United Kingdom,13.52
537638,22299,P*I&G$ @K*EY$RING W#ITH LIGHT & SOUND,3,2010.07.12 15:28:00,2.51,,United Kingdom,7.529999999999999
558700,20978,36 PENCILS TUBE SKU!LLS,1,07/01/2011 12:33:00,1.25,17920.0,United Kingdom,1.25
546622,20725,LUNCH BA$G RED& RET#ROSPO%T,2,2011.03.15 11:30:00,1.65,17954.0,United Kingdom,3.3
573076,22568,FEL$TCRAF#T &CU%SH@ION OWL*,4,10-27-2011 02:05 PM,3.75,13488.0,United Kingdom,15.0
554956,22327,ROUND S^NACK& BO@X#ES &SET OF^ 4@ S%KULLS,2,27/05/2011 15:17:00,6.63,,United Kingdom,13.26
576618,85174,S/4 CACTI CANDLES,2,15/11/2011 17:00:00,10.79,,United Kingdom,21.58
546005,22569,FE$LT^CRAFT CU#SHI*ON %BUTT^ERF@LY,4,03/08/2011 15:17:00,3.75,14426.0,United Kingdom,15.0
563195,84637,KI#TCHEN FLOWER PO&TS W!ALL PLAQ$UE,1,08/12/2011 16:36:00,4.96,,United Kingdom,4.96
579187,82580,B&ATHRO!OM ME*TAL %SIGN,1,28/11/2011 15:31:00,1.25,,United Kingdom,1.25
572030,23101,SILVER STARS& T^ABLE D&E*CORA*TION,12,2011.10.20 11:51:00,0.83,14923.0,United Kingdom,9.96
554104,22113,G$REY* H$E&ART $HOT W$AT*ER BOTTLE,12,2011.05.22 14:03:00,3.75,12705.0,Germany,45.0
569403,22726,ALARM CLOCK$ B&AK$ELIKE GREEN^,8,10/04/2011 09:02:00,3.75,13319.0,United Kingdom,30.0
543921,21519,G*I!N &! TONIC* DIET G&R%EETING @CARD,12,2011.02.14 14:13:00,0.42,13911.0,United Kingdom,5.04
544895,22090,PAP&ER BUN!T&ING R&ETROSPOT,6,24/02/2011 12:22:00,2.95,14189.0,United Kingdom,17.700000000000003
570404,22149,FELTCRAFT^ $6 FLO#WER FRIEND^S&,1,2011.10.10 12:50:00,2.1,16395.0,United Kingdom,2.1
544095,22699,RO&SES REGEN&C%Y T#EAC&UP! AND@ *SAU@CE^R,12,2011.02.16 09:25:00,2.95,16509.0,United Kingdom,35.400000000000006
558777,22280,P&OC$KE&T% BA&G PINK PAI!SELY BROWN^ SPO&T,3,2011.04.07 10:23:00,0.83,,United Kingdom,2.49
560224,85123A,WHITE HAN$GING HEART T-LIGHT H*OLDER,9,2011.07.15 16:06:00,2.95,14572.0,United Kingdom,26.55
565850,23407,S^ET OF$ 2 T&RAYS@ HOME SWEET @HOM#E,2,07-09-2011 12:55 PM,9.95,14530.0,United Kingdom,19.9
556494,20970,PINK *FLOR^AL $FELTCRAF&T SHOU$LDER@ BAG@,2,06/12/2011 14:57:00,3.75,17802.0,United Kingdom,7.5
C569995,23319,BOX OF 6 MINI 5#0'S^ CRA&CKERS,-48,06-10-2011 08:36 PM,2.08,14557.0,United Kingdom,-99.84
578921,23371,S#ET^ 36 CO&LOUR PEN!CIL$S *SPACEBOY,1,2011.11.27 11:57:00,1.25,13596.0,United Kingdom,1.25
